Epoch,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Val 1stPred. MRE,Val 2ndPred. MRE,,,Compare,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Method1 ValMRE,Val 2ndPred. MRE,,,,Method 1 diff.,Accu. 1,Method 2 diff.,Accu. 2
99,0.010102133,0.009990711,0.060563383,0.059813797,57.09249878,56.91802216,,,,0.010467711,0.010404334,0.052941699,0.05268038,55.5796864,55.9020825,,,,0.174476624,-3.065078735,-0.3223961,14.41130885
100,0.010429242,0.010074448,0.054539588,0.054652211,49.74333954,49.74441528,,,,0.010242872,0.010049218,0.048856061,0.048512962,50.32506478,50.19643283,,,,-0.001075745,-3.06615448,0.128631949,14.5399408
101,0.009905797,0.009858815,0.056669604,0.056496079,52.97327423,52.90467072,,,,0.010093924,0.009993223,0.038550293,0.037689828,30.71704376,30.64405784,,,,0.068603516,-2.997550964,0.072985917,14.61292672
102,0.010032309,0.009791864,0.057234599,0.057496361,71.6105957,72.0246582,,,,0.010225182,0.009964783,0.050027714,0.050086224,52.59175828,52.33635709,,,,-0.4140625,-3.411613464,0.255401194,14.86832792
103,0.010002279,0.009797755,0.044456931,0.044206478,31.86767197,31.73282051,,,,0.009972364,0.009874137,0.0565601,0.055477706,61.25879467,61.34028018,,,,0.134851456,-3.276762009,-0.08148551,14.78684241
104,0.00982534,0.009687432,0.044241813,0.044345796,34.23517609,34.29629517,,,,,,,,,,,,,,,,
105,0.009869389,0.009828267,0.055815084,0.055617174,52.39381027,52.62264252,,,,,,,,,,,,,,,,
106,0.009999387,0.009742962,0.060292271,0.060218174,63.98802948,64.33316803,,,,,,,,,,,,,,,,
107,0.009902335,0.009831107,0.054564995,0.053764062,56.08957672,56.12733078,,,,,,,,,,,,,,,,
108,0.010264805,0.01000247,0.063417374,0.063912927,71.99720001,72.02532959,,,,,,,,,,,,,,,,
109,0.010247655,0.010070133,0.037782175,0.037605958,29.03875542,28.96470451,,,,,,,,,,,,,,,,
110,0.010043269,0.009946132,0.05631856,0.055702091,50.95640564,50.94775391,,,,,,,,,,,,,,,,
111,0.010166844,0.009982099,0.05285096,0.053246609,48.17756271,48.35536194,,,,,,,,,,,,,,,,
112,0.010208706,0.010155542,0.047262253,0.046248902,36.02643967,35.8590889,,,,,,,,,,,,,,,,
113,0.010059678,0.010434981,0.040765517,0.040455969,29.75168991,29.64809608,,,,,,,,,,,,,,,,
114,0.010171349,0.010066077,0.054679534,0.054268917,60.90951538,60.84738922,,,,,,,,,,,,,,,,
115,0.010058521,0.00995378,0.056219792,0.055892273,48.44615555,48.29320526,,,,,,,,,,,,,,,,
116,0.009975422,0.00989113,0.04845285,0.048381711,40.35956573,40.545578,,,,,,,,,,,,,,,,
117,0.010140412,0.009882245,0.053391972,0.053122546,51.54891968,51.43531036,,,,,,,,,,,,,,,,
